Cation_SMILES,Anion_SMILES,IL_SMILES,LOG10(MP)(K),MP(K),Molar mass(g/mol)
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)(F)[N-]S(=O)(=O)F,CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,2.599,396.85,388.502
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)(F)[N-]S(=O)(=O)F,CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,2.529,338.35,416.556
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)(F)[N-]S(=O)(=O)F,CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,2.532,340.75,444.61
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)(F)[N-]S(=O)(=O)F,CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,2.543,349.45,472.664
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)(F)[N-]S(=O)(=O)F,CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,2.563,365.85,500.718
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)(F)[N-]S(=O)(=O)F,CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,2.575,375.45,528.772
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.569,370.35,474.489
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.592,390.85,488.516
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.514,326.75,516.57
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.483,303.75,544.624
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.494,311.85,572.678
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.511,324.35,600.732
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.504,319.35,628.786
CCCC[N+](C)(C)C,F[B-](F)(F)F,CCCC[N+](C)(C)C.F[B-](F)(F)F,2.665,461.95,203.032
CCCCCCCC[N+](C)(C)C,F[B-](F)(F)F,CCCCCCCC[N+](C)(C)C.F[B-](F)(F)F,2.609,406.55,259.14
CCCCCCCCCC[N+](C)(C)C,F[B-](F)(F)F,CCCCCCCCCC[N+](C)(C)C.F[B-](F)(F)F,2.601,398.95,287.194
CCCC[N+](C)(C)C,F[P-](F)(F)(F)(F)F,CCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,2.646,442.45,261.19
CCCCCC[N+](C)(C)C,F[P-](F)(F)(F)(F)F,CCCCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,2.698,498.55,289.244
CCCCCCCC[N+](C)(C)C,F[P-](F)(F)(F)(F)F,CCCCCCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,2.62,417.05,317.298
CCCCCCCCCC[N+](C)(C)C,F[P-](F)(F)(F)(F)F,CCCCCCCCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,2.652,448.85,345.352
CCCC[N+](C)(C)C,O=S(=O)([O-])C(F)(F)F,CCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,2.548,353.05,265.297
CCCCCC[N+](C)(C)C,O=S(=O)([O-])C(F)(F)F,CCCCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,2.616,412.65,293.351
CCCCCCCC[N+](C)(C)C,O=S(=O)([O-])C(F)(F)F,CCCCCCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,2.617,413.95,321.405
CCCCCCCCCC[N+](C)(C)C,O=S(=O)([O-])C(F)(F)F,CCCCCCCCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,2.627,423.35,349.459
CCCC[N+](C)(C)C,O=S(=O)(F)[N-]S(=O)(=O)F,CCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,2.464,291.05,296.361
CCCCCC[N+](C)(C)C,O=S(=O)(F)[N-]S(=O)(=O)F,CCCCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,2.505,319.85,324.415
CCCCCCCC[N+](C)(C)C,O=S(=O)(F)[N-]S(=O)(=O)F,CCCCCCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,2.448,280.33,352.469
CCCCCCCCCC[N+](C)(C)C,O=S(=O)(F)[N-]S(=O)(=O)F,CCCCCCCCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,2.436,273.15,380.523
CCCC[N+](C)(C)C,[Br-],CCCC[N+](C)(C)C.[Br-],2.686,485.65,196.132
CCCCCC[N+](C)(C)C,[Br-],CCCCCC[N+](C)(C)C.[Br-],2.663,459.95,224.186
CCCCCCCC[N+](C)(C)C,[Br-],CCCCCCCC[N+](C)(C)C.[Br-],2.689,489.05,252.24
CCCCCCCCCC[N+](C)(C)C,[Br-],CCCCCCCCCC[N+](C)(C)C.[Br-],2.707,508.75,280.294
CCCC[N+]1(C)CCC(O)CC1,[Br-],CCCC[N+]1(C)CCC(O)CC1.[Br-],2.627,423.65,252.196
CCCCCC[N+]1(C)CCC(O)CC1,[Br-],CCCCCC[N+]1(C)CCC(O)CC1.[Br-],2.549,354.15,280.25
CCCCCCCC[N+]1(C)CCC(O)CC1,[Br-],CCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],2.575,375.65,308.304
CCCCCCCCCC[N+]1(C)CCC(O)CC1,[Br-],CCCCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],2.623,419.65,336.358
CCCCCCCCCCCC[N+]1(C)CCC(O)CC1,[Br-],CCCCCCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],2.68,478.15,364.412
CCCCCCCCCCCCCC[N+]1(C)CCC(O)CC1,[Br-],CCCCCCCCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],2.684,482.65,392.466
CCCCCCCCCCCCCCCC[N+]1(C)CCC(O)CC1,[Br-],CCCCCCCCCCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],2.686,485.65,420.52
CCC[NH2+]CCC,O=S(=O)([O-])C(F)(F)F,CCC[NH2+]CCC.O=S(=O)([O-])C(F)(F)F,2.612,409.15,251.27
CCC[NH2+]CCC,O=C[O-],CCC[NH2+]CCC.O=C[O-],2.389,245.15,147.218
CCC[NH2+]CCC,CC(=O)[O-],CCC[NH2+]CCC.CC(=O)[O-],2.457,286.15,161.245
CCCC[NH2+]CCCC,O=S(=O)([O-])O,CCCC[NH2+]CCCC.O=S(=O)([O-])O,2.606,404.05,227.326
CCCC[NH2+]CCCC,O=S(=O)([O-])C(F)(F)F,CCCC[NH2+]CCCC.O=S(=O)([O-])C(F)(F)F,2.616,413.15,279.324
CCCC[NH2+]CCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[NH2+]CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.499,315.75,410.402
CCCC[NH2+]CCCC,F[B-](F)(F)F,CCCC[NH2+]CCCC.F[B-](F)(F)F,2.687,485.95,217.059
CCCC[NH2+]CCCC,O=P([O-])(O)O,CCCC[NH2+]CCCC.O=P([O-])(O)O,2.57,371.15,227.241
C[NH+](C)C,O=S(=O)([O-])C(F)(F)F,C[NH+](C)C.O=S(=O)([O-])C(F)(F)F,2.626,423.15,209.189
C[NH+](C)C,O=[N+]([O-])[O-],C[NH+](C)C.O=[N+]([O-])[O-],2.632,428.15,122.124
