Cation_SMILES,Anion_SMILES,IL_SMILES,MP(K),LOG10(MP)(K),Molar mass(g/mol)
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,319.35,2.504,628.786
CCCC[N+](C)(C)C,F[B-](F)(F)F,CCCC[N+](C)(C)C.F[B-](F)(F)F,461.95,2.665,203.032
CCCCCCCC[N+](C)(C)C,F[B-](F)(F)F,CCCCCCCC[N+](C)(C)C.F[B-](F)(F)F,406.55,2.609,259.14
CCCCCCCCCC[N+](C)(C)C,F[B-](F)(F)F,CCCCCCCCCC[N+](C)(C)C.F[B-](F)(F)F,398.95,2.601,287.194
CCCC[N+](C)(C)C,F[P-](F)(F)(F)(F)F,CCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,442.45,2.646,261.19
CCCCCC[N+](C)(C)C,F[P-](F)(F)(F)(F)F,CCCCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,498.55,2.698,289.244
CCCCCCCC[N+](C)(C)C,F[P-](F)(F)(F)(F)F,CCCCCCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,417.05,2.62,317.298
CCCCCCCCCC[N+](C)(C)C,F[P-](F)(F)(F)(F)F,CCCCCCCCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,448.85,2.652,345.352
CCCC[N+](C)(C)C,O=S(=O)([O-])C(F)(F)F,CCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,353.05,2.548,265.297
CCCCCC[N+](C)(C)C,O=S(=O)([O-])C(F)(F)F,CCCCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,412.65,2.616,293.351
CCCCCCCC[N+](C)(C)C,O=S(=O)([O-])C(F)(F)F,CCCCCCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,413.95,2.617,321.405
CCCCCCCCCC[N+](C)(C)C,O=S(=O)([O-])C(F)(F)F,CCCCCCCCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,423.35,2.627,349.459
CCCC[N+](C)(C)C,O=S(=O)(F)[N-]S(=O)(=O)F,CCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,291.05,2.464,296.361
CCCCCC[N+](C)(C)C,O=S(=O)(F)[N-]S(=O)(=O)F,CCCCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,319.85,2.505,324.415
CCCCCCCC[N+](C)(C)C,O=S(=O)(F)[N-]S(=O)(=O)F,CCCCCCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,280.33,2.448,352.469
CCCCCCCCCC[N+](C)(C)C,O=S(=O)(F)[N-]S(=O)(=O)F,CCCCCCCCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,273.15,2.436,380.523
CCCC[N+](C)(C)C,[Br-],CCCC[N+](C)(C)C.[Br-],485.65,2.686,196.132
CCCCCC[N+](C)(C)C,[Br-],CCCCCC[N+](C)(C)C.[Br-],459.95,2.663,224.186
CCCCCCCC[N+](C)(C)C,[Br-],CCCCCCCC[N+](C)(C)C.[Br-],489.05,2.689,252.24
CCCCCCCCCC[N+](C)(C)C,[Br-],CCCCCCCCCC[N+](C)(C)C.[Br-],508.75,2.707,280.294
CC[N+]1(C)CCC(O)CC1,[Br-],CC[N+]1(C)CCC(O)CC1.[Br-],566.65,2.753,224.142
CCCC[N+]1(C)CCC(O)CC1,[Br-],CCCC[N+]1(C)CCC(O)CC1.[Br-],423.65,2.627,252.196
CCCCCC[N+]1(C)CCC(O)CC1,[Br-],CCCCCC[N+]1(C)CCC(O)CC1.[Br-],354.15,2.549,280.25
CCCCCCCC[N+]1(C)CCC(O)CC1,[Br-],CCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],375.65,2.575,308.304
CCCCCCCCCC[N+]1(C)CCC(O)CC1,[Br-],CCCCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],419.65,2.623,336.358
CCCCCCCCCCCC[N+]1(C)CCC(O)CC1,[Br-],CCCCCCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],478.15,2.68,364.412
CCCCCCCCCCCCCC[N+]1(C)CCC(O)CC1,[Br-],CCCCCCCCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],482.65,2.684,392.466
CCCCCCCCCCCCCCCC[N+]1(C)CCC(O)CC1,[Br-],CCCCCCCCCCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],485.65,2.686,420.52
CCC[NH2+]CCC,O=S(=O)([O-])C(F)(F)F,CCC[NH2+]CCC.O=S(=O)([O-])C(F)(F)F,409.15,2.612,251.27
CCC[NH2+]CCC,O=C[O-],CCC[NH2+]CCC.O=C[O-],245.15,2.389,147.218
CCC[NH2+]CCC,CC(=O)[O-],CCC[NH2+]CCC.CC(=O)[O-],286.15,2.457,161.245
CCC[NH2+]CCC,[Br-],CCC[NH2+]CCC.[Br-],538.15,2.731,182.105
CCCC[NH2+]CCCC,O=S(=O)([O-])O,CCCC[NH2+]CCCC.O=S(=O)([O-])O,404.05,2.606,227.326
CCCC[NH2+]CCCC,O=S(=O)([O-])C(F)(F)F,CCCC[NH2+]CCCC.O=S(=O)([O-])C(F)(F)F,413.15,2.616,279.324
