Cation_ID,Cation_SMILES,Cation_PubChemID
C0922,NC(=O)CC[n+]1ccccc1,416200
C0352,CCCCCC[N+](CC)(CC)CC,193021
C1593,CCCCCCC[N+]1(C)CCCCC1,23088833
C0665,CCCCCCCCCCCCCC[n+]1ccn(C)c1,2734230
C0698,Cn1cc[n+](CC(=O)c2ccccc2)c1,425033
C0810,Cn1cc[n+](Cc2ccccc2)c1,10560336
C1690,CCCCCCCCCCCCOC[N+](C)(C)CCOC(=O)CCCCCCCCC,11340545
C1317,CCCCCCCC[N+]1(C)CCCC1,20435527
C2031,CCCCCCCCC[n+]1cccnc1,23148575
C0886,CCCCCCCCCCCCCCCCn1c(C)[n+](CCCCCCCCCCCCCCCC)c2ccccc21,21792522
C1326,CCCCCCCCCC[n+]1ccn(CC)c1,54395086
C2098,CCCCCCCCCC[N+]1(C)CCOCC1,20435525
C1760,CCCCCn1cc[n+](CCCCC)c1,87106874
C0359,Cc1ccc(C(=O)C[n+]2ccn(C)c2)cc1,3130804
C0754,CCc1ccc(C(=O)C[n+]2ccn(C)c2)cc1,13712082
C0274,NC(=O)C[n+]1ccccc1,412680
C0551,CC(=O)C[n+]1ccccc1,408049
C0323,Cc1n(C)cc[n+]1CC(=O)c1ccc(Cl)cc1,12277634
C1136,CCCCCCCCCCCC[P+](CC)(CC)CC,21296883
C1625,CCCC[n+]1ccn(-c2ccccc2C)c1,58249727
C1668,CCCC[n+]1ccn(CCCNCc2ccccc2O)c1,102595022
C1268,CCCCCC[n+]1csc2ccccc21,85570737
C0102,CC(=O)OCCCC[n+]1cccc(O)c1,16206999
C0280,CCCCCCCC[n+]1ccn(CCC)c1,87643583
C2067,CCCCCCCC[n+]1cc(C)cc(C)c1C,46210873
C0780,Cc1cccc(C[N+](C)(C)CCO)c1C,437096
C2294,CCCCCCCCCC[NH2+]CCCCCCCCCC,21470588
C1073,CC(=O)Nc1cccc(C(=O)C[n+]2ccn(C)c2)c1,44313659
C0950,COc1cccc(C(=O)C[n+]2ccn(C)c2)c1,147053
C0577,Cn1cc[n+](CCc2ccccc2)c1,10683229
C0343,Cn1cc[n+](CC(=O)c2ccc(Cl)cc2)c1,2264189
C1628,Cc1ccccc1-n1cc[n+](C)c1,132545438
C1097,C[n+]1cccc(CCCO)c1,10540607
C0723,CCCCCCCCCCCC[n+]1ccn(C)c1,2734228
C0115,Cc1n(CCC(C(N)=O)(c2ccccc2)c2ccccc2)cc[n+]1Cc1ccccc1,15516745
C1151,CCOc1cccc(C(=O)C[n+]2ccn(C)c2)c1,13712078
C0117,CCCCCCCCCCC[n+]1ccn(-c2c(C)cc(C)cc2C)c1,58249730
C1636,CCCCCCCCC[N+]1(C)CCOCC1,15768571
C1063,CCCOc1cccc(C(=O)C[n+]2ccn(C)c2)c1,44313964
C0540,COc1ccccc1C(=O)C[n+]1ccn(C)c1,13712096
C0971,Cn1cc[n+](CC(=O)c2ccc(C(N)=O)cc2)c1,44313771
C1592,CCCCCC[N+]1(C)CCCCC1,23088823
C1541,CCC[n+]1cccc(C)c1,3634933
C0530,OCC[n+]1ccccc1,118751
C0221,CCCCNC(=O)Cn1cc[n+](C)c1,87942630
C2025,CCCCCCCCC=CCCCCCCCCn1cc[n+](C)c1,73453992
C0182,CCCCCC[P+](CCCC)(CCCC)CCCC,4161863
C0697,CCCCCCCCCCCC[N+](CC)(CCO)CCO,23220558
C1543,CCCCCCC[N+]1(C)CCCC1,12157911
C1187,CC[n+]1cccc(C)c1,3599605
